time,theta_0,theta_1
1.392320556640625000e+02,9.350551605224609375e+00,5.140091478824615479e-02
1.397328948974609375e+02,9.350551605224609375e+00,5.137595161795616150e-02
1.402337188720703125e+02,9.350544929504394531e+00,5.135539174079895020e-02
1.407345581054687500e+02,9.350533485412597656e+00,5.133802816271781921e-02
1.412353973388671875e+02,9.350518226623535156e+00,5.132335051894187927e-02
1.417362213134765625e+02,9.358856201171875000e+00,4.883001372218132019e-02
1.422370605468750000e+02,9.359742164611816406e+00,4.886417090892791748e-02
1.427378997802734375e+02,9.360078811645507812e+00,4.887539148330688477e-02
1.432387237548828125e+02,9.360241889953613281e+00,4.887861758470535278e-02
1.437395629882812500e+02,9.360327720642089844e+00,4.887875169515609741e-02
1.442404022216796875e+02,9.360370635986328125e+00,4.887729138135910034e-02
1.447412414550781250e+02,9.360388755798339844e+00,4.887543618679046631e-02
1.452420654296875000e+02,9.360394477844238281e+00,4.887349158525466919e-02
1.457429046630859375e+02,9.360391616821289062e+00,4.887131229043006897e-02
1.462437438964843750e+02,9.360383033752441406e+00,4.886920005083084106e-02
1.467445678710937500e+02,9.360373497009277344e+00,4.886759817600250244e-02
1.472454071044921875e+02,9.360363006591796875e+00,4.886586219072341919e-02
1.477462463378906250e+02,9.360351562500000000e+00,4.886430874466896057e-02
1.482470855712890625e+02,9.360340118408203125e+00,4.886306077241897583e-02
1.487479095458984375e+02,9.360329627990722656e+00,4.886196553707122803e-02
1.492487487792968750e+02,9.360320091247558594e+00,4.886094853281974792e-02
1.497495880126953125e+02,9.360309600830078125e+00,4.886002466082572937e-02
1.502504119873046875e+02,9.360302925109863281e+00,4.885932430624961853e-02
1.507512512207031250e+02,9.360294342041015625e+00,4.885860905051231384e-02
1.512520904541015625e+02,9.360287666320800781e+00,4.885807633399963379e-02
1.517529144287109375e+02,9.360279083251953125e+00,4.885749146342277527e-02
1.522537536621093750e+02,9.360274314880371094e+00,4.885705187916755676e-02
1.527545928955078125e+02,9.360268592834472656e+00,4.885656759142875671e-02
1.532554321289062500e+02,9.360262870788574219e+00,4.885628819465637207e-02
1.537562561035156250e+02,9.360259056091308594e+00,4.885600879788398743e-02
1.542570953369140625e+02,9.360254287719726562e+00,4.885568842291831970e-02
1.547579345703125000e+02,9.360250473022460938e+00,4.885552078485488892e-02
1.552587585449218750e+02,9.360247611999511719e+00,4.885540530085563660e-02
1.557595977783203125e+02,9.360242843627929688e+00,4.885517433285713196e-02
1.562604370117187500e+02,9.360240936279296875e+00,4.885496944189071655e-02
1.567612762451171875e+02,9.360239028930664062e+00,4.885475710034370422e-02
1.572621002197265625e+02,9.360238075256347656e+00,4.885468631982803345e-02
1.577629394531250000e+02,9.360235214233398438e+00,4.885450378060340881e-02
1.582637786865234375e+02,9.360233306884765625e+00,4.885436594486236572e-02
1.587646026611328125e+02,9.360233306884765625e+00,4.885431751608848572e-02
1.592654418945312500e+02,9.360231399536132812e+00,4.885422438383102417e-02
1.597662811279296875e+02,9.360230445861816406e+00,4.885413125157356262e-02
1.602671051025390625e+02,9.360229492187500000e+00,4.885413125157356262e-02
1.607679443359375000e+02,9.360226631164550781e+00,4.885399341583251953e-02
1.612687835693359375e+02,9.360226631164550781e+00,4.885390028357505798e-02
1.617696228027343750e+02,9.360225677490234375e+00,4.885383322834968567e-02
1.622704467773437500e+02,9.360225677490234375e+00,4.885387793183326721e-02
1.627712860107421875e+02,9.360223770141601562e+00,4.885376617312431335e-02
1.632721252441406250e+02,9.360223770141601562e+00,4.885376617312431335e-02
1.637729492187500000e+02,9.360223770141601562e+00,4.885380715131759644e-02
1.642737884521484375e+02,9.360222816467285156e+00,4.885371774435043335e-02
1.647746276855468750e+02,9.360221862792968750e+00,4.885367304086685181e-02
1.652754516601562500e+02,9.360221862792968750e+00,4.885376617312431335e-02
1.657762908935546875e+02,9.360221862792968750e+00,4.885367304086685181e-02
1.662771301269531250e+02,9.029549598693847656e+00,3.124569058418273926e-01
1.667779693603515625e+02,9.126658439636230469e+00,2.129952907562255859e-01
