time,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7
3.693467378616333008e+00,9.975468739867210388e-03,4.472660720348358154e-01,1.006621401757001877e-02,9.981206618249416351e-03,1.001957524567842484e-02,9.880458004772663116e-03,8.285526186227798462e-03,9.954547276720404625e-04
3.718592882156372070e+00,9.976535104215145111e-03,4.472637772560119629e-01,1.006471086293458939e-02,9.982873685657978058e-03,1.001882459968328476e-02,9.884803555905818939e-03,8.311357349157333374e-03,9.960739407688379288e-04
3.743718624114990234e+00,9.977176785469055176e-03,4.472623765468597412e-01,1.006384287029504776e-02,9.983777999877929688e-03,1.001839060336351395e-02,9.887310676276683807e-03,8.326311595737934113e-03,9.964173659682273865e-04
3.768844127655029297e+00,9.977923706173896790e-03,4.472607672214508057e-01,1.006278209388256073e-02,9.984873235225677490e-03,1.001786999404430389e-02,9.890323504805564880e-03,8.344940841197967529e-03,9.968009544536471367e-04
3.793969869613647461e+00,9.978851303458213806e-03,4.472588598728179932e-01,1.006139535456895828e-02,9.986148215830326080e-03,1.001719105988740921e-02,9.894286282360553741e-03,8.370263502001762390e-03,9.972744155675172806e-04
3.819095373153686523e+00,9.979374706745147705e-03,4.472577273845672607e-01,1.006062794476747513e-02,9.986796416342258453e-03,1.001680456101894379e-02,9.896414354443550110e-03,8.384120650589466095e-03,9.975113207474350929e-04
3.844221115112304688e+00,9.979923255741596222e-03,4.472564756870269775e-01,1.005978789180517197e-02,9.987477213144302368e-03,1.001640781760215759e-02,9.898726828396320343e-03,8.399389684200286865e-03,9.977528825402259827e-04
3.869346618652343750e+00,9.980702772736549377e-03,4.472548663616180420e-01,1.005856506526470184e-02,9.988382458686828613e-03,1.001582574099302292e-02,9.902168065309524536e-03,8.423214778304100037e-03,9.980822214856743813e-04
3.894472360610961914e+00,9.981187991797924042e-03,4.472537934780120850e-01,1.005777902901172638e-02,9.988858364522457123e-03,1.001546252518892288e-02,9.904274716973304749e-03,8.438411168754100800e-03,9.982564952224493027e-04
3.919598102569580078e+00,9.981706738471984863e-03,4.472526013851165771e-01,1.005694922059774399e-02,9.989367797970771790e-03,1.001507509499788284e-02,9.906546212732791901e-03,8.454674854874610901e-03,9.984411299228668213e-04
3.944723606109619141e+00,9.981964714825153351e-03,4.472521245479583740e-01,1.005654130131006241e-02,9.989558719098567963e-03,1.001488417387008667e-02,9.907576255500316620e-03,8.462546393275260925e-03,9.985258802771568298e-04
3.969849348068237305e+00,9.982693009078502655e-03,4.472506642341613770e-01,1.005525141954421997e-02,9.990216232836246490e-03,1.001429744064807892e-02,9.911067783832550049e-03,8.489027619361877441e-03,9.987415978685021400e-04
3.994974851608276367e+00,9.982749819755554199e-03,4.472504556179046631e-01,1.005521789193153381e-02,9.990220889449119568e-03,1.001428253948688507e-02,9.911101311445236206e-03,8.489076048135757446e-03,9.987544035539031029e-04
4.020100593566894531e+00,9.983377531170845032e-03,4.472492337226867676e-01,1.005406677722930908e-02,9.990673512220382690e-03,1.001377217471599579e-02,9.914130903780460358e-03,8.513553068041801453e-03,9.989349637180566788e-04
4.045226097106933594e+00,2.161095619201660156e+00,1.762535721063613892e-01,1.812529377639293671e-02,4.283862188458442688e-03,3.568365797400474548e-02,2.284529386088252068e-03,4.110266920179128647e-03,4.241897549945861101e-04
4.070351600646972656e+00,2.606033086776733398e+00,1.881397068500518799e-01,1.283690612763166428e-02,5.084826145321130753e-03,1.875505410134792328e-02,3.096247557550668716e-03,6.346332840621471405e-03,4.426881205290555954e-04
4.095477581024169922e+00,2.893073558807373047e+00,2.135021239519119263e-01,1.062225550413131714e-02,6.210951600223779678e-03,1.383884157985448837e-02,4.300056956708431244e-03,1.366866193711757660e-02,5.163065507076680660e-04
