time,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7
2.688442230224609375e+00,1.452181895729154348e-04,1.334242224693298340e+00,1.444232184439897537e-04,5.247744775260798633e-05,2.568625379353761673e-03,2.561890482902526855e-01,1.092829043045639992e-04,6.165222202980658039e-06
2.713567733764648438e+00,3.633351325988769531e-01,1.980860680341720581e-01,8.528881153324618936e-05,7.775705307722091675e-05,9.039712905883789062e+00,2.714995294809341431e-03,1.282452867599204183e-04,6.177581781230401248e-06
2.738693475723266602e+00,5.964850783348083496e-01,1.796162724494934082e-01,7.367861689999699593e-05,7.914537127362564206e-05,9.913262367248535156e+00,5.298366886563599110e-04,1.392121630487963557e-04,6.257499990169890225e-06
2.763818979263305664e+00,4.967685937881469727e-01,1.879316121339797974e-01,6.674579344689846039e-05,1.453834772109985352e-01,9.911465644836425781e+00,3.601754724513739347e-05,1.591838808963075280e-04,6.347990165522787720e-06
2.788944721221923828e+00,4.189011156558990479e-01,1.976322978734970093e-01,6.605694215977564454e-05,4.552887082099914551e-01,9.927301406860351562e+00,4.530971273197792470e-05,1.790658861864358187e-04,6.437082902266411111e-06
2.814070463180541992e+00,3.663612306118011475e-01,2.068184167146682739e-01,6.485729682026430964e-05,5.430773496627807617e-01,9.928930282592773438e+00,5.290151966619305313e-05,1.938131463248282671e-04,6.532157385663595051e-06
2.839195966720581055e+00,3.289799094200134277e-01,2.153637856245040894e-01,6.406949250958859921e-05,5.938718318939208984e-01,9.928115844726562500e+00,5.894682908547110856e-05,2.029259485425427556e-04,6.636452781094703823e-06
2.864321708679199219e+00,2.999178171157836914e-01,2.222421914339065552e-01,6.354023935273289680e-05,6.211372017860412598e-01,9.923459053039550781e+00,6.657640915364027023e-05,2.076994715025648475e-04,6.752065019099973142e-06
2.889447212219238281e+00,2.772960960865020752e-01,2.267130166292190552e-01,6.317447696346789598e-05,6.313183307647705078e-01,9.906023025512695312e+00,8.286230877274647355e-05,2.101315767504274845e-04,6.882103207317413762e-06
2.914572954177856445e+00,2.445225864648818970e-01,2.299780100584030151e-01,6.292173929978162050e-05,5.815339088439941406e-01,9.099203109741210938e+00,2.130204520653933287e-04,2.128738124156370759e-04,7.019612894509918988e-06
2.939698457717895508e+00,9.704644232988357544e-02,2.823687195777893066e-01,6.275011401157826185e-05,8.808599412441253662e-02,1.296042203903198242e+00,1.119349501095712185e-03,2.253036800539121032e-04,7.061492397042457014e-06
2.964824199676513672e+00,8.132153749465942383e-02,3.014517128467559814e-01,6.263605610001832247e-05,7.985061407089233398e-02,1.092842340469360352e+00,8.885040879249572754e-04,2.311557327629998326e-04,7.105509212124161422e-06
2.989949703216552734e+00,7.005963474512100220e-02,3.211882412433624268e-01,6.256137567106634378e-05,7.539533823728561401e-02,9.787715673446655273e-01,7.010073750279843807e-04,2.350701834075152874e-04,7.143010861909715459e-06
3.015075445175170898e+00,6.131888926029205322e-02,3.417173326015472412e-01,6.251755257835611701e-05,7.204778492450714111e-02,9.011475443840026855e-01,5.942943971604108810e-04,2.373376046307384968e-04,7.175061000452842563e-06
3.040200948715209961e+00,5.456998944282531738e-02,3.623704612255096436e-01,6.249418220249935985e-05,6.916289776563644409e-02,8.448996543884277344e-01,5.699032335542142391e-04,2.382916718488559127e-04,7.202758297353284433e-06
3.065326690673828125e+00,4.896789416670799255e-02,3.813089430332183838e-01,6.248422141652554274e-05,6.648540496826171875e-02,8.007905483245849609e-01,5.895804497413337231e-04,2.382393577136099339e-04,7.226803973026107997e-06
3.090452194213867188e+00,4.335911571979522705e-02,3.943447470664978027e-01,6.248628051253035665e-05,6.376958638429641724e-02,7.618298530578613281e-01,6.189448176883161068e-04,2.374485338805243373e-04,7.247771463880781084e-06
3.115577936172485352e+00,3.776022046804428101e-02,3.993058800697326660e-01,6.249696889426559210e-05,6.112959980964660645e-02,7.275985479354858398e-01,6.499133887700736523e-04,2.361347578698769212e-04,7.265997282956959680e-06
3.140703439712524414e+00,3.287157043814659119e-02,4.038918614387512207e-01,6.251395825529471040e-05,5.834534391760826111e-02,6.937789916992187500e-01,6.818585097789764404e-04,2.344599924981594086e-04,7.281696980498963967e-06
3.165829181671142578e+00,3.624725341796875000e-02,3.946815729141235352e-01,6.257910717977210879e-05,6.739169359207153320e-02,9.156388640403747559e-01,6.767461891286075115e-04,2.282263449160382152e-04,7.302344783965963870e-06
3.190954685211181641e+00,2.737468183040618896e-01,2.572133243083953857e-01,6.469997606473043561e-05,6.590547561645507812e-01,9.861918449401855469e+00,1.047752739395946264e-04,1.768289366737008095e-04,7.629432730027474463e-06
3.216080427169799805e+00,2.452079802751541138e-01,2.663427293300628662e-01,6.566270894836634398e-05,6.561330556869506836e-01,9.879003524780273438e+00,1.059702262864448130e-04,1.773507392499595881e-04,7.943984201119747013e-06
3.241205930709838867e+00,1.912101656198501587e-01,2.330559343099594116e-01,6.589284021174535155e-05,6.072047352790832520e-01,9.852057456970214844e+00,1.618926326045766473e-04,1.840113545767962933e-04,8.253226951637770981e-06
3.266331672668457031e+00,1.360649913549423218e-01,2.837789654731750488e-01,6.607823161175474524e-05,3.560443520545959473e-01,6.046865940093994141e+00,3.885071782860904932e-04,1.919791684485971928e-04,8.506463018420618027e-06
3.291457176208496094e+00,4.929117858409881592e-02,3.820251822471618652e-01,6.626304093515500426e-05,1.114642843604087830e-01,1.937437415122985840e+00,4.991785390302538872e-04,1.962382957572117448e-04,8.604180038673803210e-06
3.316582918167114258e+00,1.059110090136528015e-02,4.648239612579345703e-01,6.639656203333288431e-05,5.149027705192565918e-02,9.108088016510009766e-01,5.518762627616524696e-04,1.963535614777356386e-04,8.633706784166861326e-06
3.341708660125732422e+00,1.247947197407484055e-02,4.534153640270233154e-01,6.650799332419410348e-05,3.762010857462882996e-02,7.062672972679138184e-01,5.887491279281675816e-04,1.953873579623177648e-04,8.639353836770169437e-06
3.366834163665771484e+00,1.279426389373838902e-03,6.013574004173278809e-01,6.660135841229930520e-05,2.410601265728473663e-02,4.568497240543365479e-01,6.233969470486044884e-04,1.946372358361259103e-04,8.646330570627469569e-06
3.391959905624389648e+00,9.389303158968687057e-04,6.302976012229919434e-01,6.667805428151041269e-05,1.780881360173225403e-02,3.547483086585998535e-01,6.514618289656937122e-04,1.937164051923900843e-04,8.643935871077701449e-06
3.417085409164428711e+00,7.352248067036271095e-04,6.591578125953674316e-01,6.674779433524236083e-05,1.495297718793153763e-02,3.023787736892700195e-01,6.695734919048845768e-04,1.928977872012183070e-04,8.641822205390781164e-06
