time,theta_0,theta_1
1.337228698730468750e+02,9.159837722778320312e+00,8.809368312358856201e-02
1.342237091064453125e+02,9.160207748413085938e+00,8.775740861892700195e-02
1.347245483398437500e+02,9.160695075988769531e+00,8.743899315595626831e-02
1.352253723144531250e+02,9.161223411560058594e+00,8.714714646339416504e-02
1.357262115478515625e+02,9.161754608154296875e+00,8.688414841890335083e-02
1.362270507812500000e+02,9.162270545959472656e+00,8.664948493242263794e-02
1.367278747558593750e+02,9.162755966186523438e+00,8.644111454486846924e-02
1.372287139892578125e+02,9.163212776184082031e+00,8.625557273626327515e-02
1.377295532226562500e+02,9.163638114929199219e+00,8.609093725681304932e-02
1.382303771972656250e+02,9.164033889770507812e+00,8.594447374343872070e-02
1.387312164306640625e+02,9.164400100708007812e+00,8.581360429525375366e-02
1.392320556640625000e+02,9.164733886718750000e+00,8.569640666246414185e-02
1.397328948974609375e+02,9.165047645568847656e+00,8.559131622314453125e-02
1.402337188720703125e+02,9.165335655212402344e+00,8.549664914608001709e-02
1.407345581054687500e+02,9.165602684020996094e+00,8.541166782379150391e-02
1.412353973388671875e+02,9.165846824645996094e+00,8.533458411693572998e-02
1.417362213134765625e+02,9.192335128784179688e+00,7.904835790395736694e-02
1.422370605468750000e+02,9.184232711791992188e+00,8.075833320617675781e-02
1.427378997802734375e+02,9.180754661560058594e+00,8.146743476390838623e-02
1.432387237548828125e+02,9.179413795471191406e+00,8.174718916416168213e-02
1.437395629882812500e+02,9.178791999816894531e+00,8.187650889158248901e-02
1.442404022216796875e+02,9.178486824035644531e+00,8.193720132112503052e-02
1.447412414550781250e+02,9.178349494934082031e+00,8.196154236793518066e-02
1.452420654296875000e+02,9.178307533264160156e+00,8.196588605642318726e-02
1.457429046630859375e+02,9.178314208984375000e+00,8.195859938859939575e-02
1.462437438964843750e+02,9.178352355957031250e+00,8.194545656442642212e-02
1.467445678710937500e+02,9.178405761718750000e+00,8.192977309226989746e-02
1.472454071044921875e+02,9.178463935852050781e+00,8.191279321908950806e-02
1.477462463378906250e+02,9.178524017333984375e+00,8.189575374126434326e-02
1.482470855712890625e+02,9.178584098815917969e+00,8.187968283891677856e-02
1.487479095458984375e+02,9.178639411926269531e+00,8.186462521553039551e-02
1.492487487792968750e+02,9.178691864013671875e+00,8.185061067342758179e-02
1.497495880126953125e+02,9.178741455078125000e+00,8.183764666318893433e-02
1.502504119873046875e+02,9.178786277770996094e+00,8.182618767023086548e-02
1.507512512207031250e+02,9.178825378417968750e+00,8.181536197662353516e-02
1.512520904541015625e+02,9.178863525390625000e+00,8.180580288171768188e-02
1.517529144287109375e+02,9.178896903991699219e+00,8.179718255996704102e-02
1.522537536621093750e+02,9.178927421569824219e+00,8.178917318582534790e-02
1.527545928955078125e+02,9.178954124450683594e+00,8.178194612264633179e-02
1.532554321289062500e+02,9.178977966308593750e+00,8.177547901868820190e-02
1.537562561035156250e+02,9.179000854492187500e+00,8.176987618207931519e-02
1.542570953369140625e+02,9.179020881652832031e+00,8.176458626985549927e-02
1.547579345703125000e+02,9.179039001464843750e+00,8.176005631685256958e-02
1.552587585449218750e+02,9.179056167602539062e+00,8.175607025623321533e-02
1.557595977783203125e+02,9.179069519042968750e+00,8.175212144851684570e-02
1.562604370117187500e+02,9.179082870483398438e+00,8.174880594015121460e-02
1.567612762451171875e+02,9.179094314575195312e+00,8.174586296081542969e-02
1.572621002197265625e+02,9.179103851318359375e+00,8.174331486225128174e-02
1.577629394531250000e+02,9.179113388061523438e+00,8.174076676368713379e-02
1.582637786865234375e+02,9.179121971130371094e+00,8.173863589763641357e-02
1.587646026611328125e+02,9.179129600524902344e+00,8.173685520887374878e-02
1.592654418945312500e+02,9.179136276245117188e+00,8.173497021198272705e-02
1.597662811279296875e+02,9.179141998291015625e+00,8.173349499702453613e-02
1.602671051025390625e+02,9.179145812988281250e+00,8.173225820064544678e-02
1.607679443359375000e+02,9.179151535034179688e+00,8.173087239265441895e-02
1.612687835693359375e+02,9.179156303405761719e+00,8.172982931137084961e-02
1.617696228027343750e+02,9.179160118103027344e+00,8.172882348299026489e-02
1.622704467773437500e+02,9.179163932800292969e+00,8.172812312841415405e-02
1.627712860107421875e+02,9.179167747497558594e+00,8.172722905874252319e-02
1.632721252441406250e+02,9.179168701171875000e+00,8.172655105590820312e-02
1.637729492187500000e+02,9.179171562194824219e+00,8.172607421875000000e-02
1.642737884521484375e+02,9.179173469543457031e+00,8.172533661127090454e-02
1.647746276855468750e+02,9.179175376892089844e+00,8.172491937875747681e-02
1.652754516601562500e+02,9.179177284240722656e+00,8.172465115785598755e-02
1.657762908935546875e+02,9.179178237915039062e+00,8.172410726547241211e-02
1.662771301269531250e+02,8.653695106506347656e+00,6.572538614273071289e-01
1.667779693603515625e+02,8.802419662475585938e+00,4.505977928638458252e-01
1.672787933349609375e+02,8.343654632568359375e+00,1.146548748016357422e+00
1.677796325683593750e+02,8.636352539062500000e+00,7.027857303619384766e-01
1.682804718017578125e+02,8.725648880004882812e+00,5.729154348373413086e-01
1.687812957763671875e+02,8.780080795288085938e+00,4.890766739845275879e-01
1.692821350097656250e+02,8.839792251586914062e+00,4.079470932483673096e-01
1.697829742431640625e+02,8.519903182983398438e+00,8.703811168670654297e-01
1.702838134765625000e+02,8.667324066162109375e+00,6.470194458961486816e-01
1.707846374511718750e+02,8.753217697143554688e+00,5.218983292579650879e-01
1.712854766845703125e+02,8.823123931884765625e+00,4.274133443832397461e-01
1.717863159179687500e+02,8.883786201477050781e+00,3.512795269489288330e-01
1.722871398925781250e+02,8.937606811523437500e+00,2.888438999652862549e-01
1.727879791259765625e+02,8.985308647155761719e+00,2.380679547786712646e-01
1.732888183593750000e+02,9.026542663574218750e+00,1.980853527784347534e-01
1.737896423339843750e+02,9.060863494873046875e+00,1.678264141082763672e-01
1.742904815673828125e+02,9.088519096374511719e+00,1.455311626195907593e-01
1.747913208007812500e+02,9.110393524169921875e+00,1.292439699172973633e-01
1.752921600341796875e+02,9.127578735351562500e+00,1.172875389456748962e-01
1.757929840087890625e+02,9.141091346740722656e+00,1.084071174263954163e-01
1.762938232421875000e+02,9.151775360107421875e+00,1.017150655388832092e-01
1.767946624755859375e+02,9.160288810729980469e+00,9.659861028194427490e-02
1.772954864501953125e+02,9.167135238647460938e+00,9.263348579406738281e-02
1.777963256835937500e+02,9.172695159912109375e+00,8.952067047357559204e-02
1.782971649169921875e+02,9.177253723144531250e+00,8.704879879951477051e-02
1.787980041503906250e+02,9.181028366088867188e+00,8.506510406732559204e-02
1.792988281250000000e+02,9.184191703796386719e+00,8.345749974250793457e-02
1.797996673583984375e+02,9.186864852905273438e+00,8.214227110147476196e-02
1.803005065917968750e+02,9.189150810241699219e+00,8.105674386024475098e-02
1.808013305664062500e+02,9.191124916076660156e+00,8.015354722738265991e-02
1.813021697998046875e+02,9.192839622497558594e+00,7.939527183771133423e-02
1.818030090332031250e+02,9.194348335266113281e+00,7.875451445579528809e-02
1.823038330078125000e+02,9.195683479309082031e+00,7.820812612771987915e-02
1.828046722412109375e+02,9.196872711181640625e+00,7.773908227682113647e-02
1.833055114746093750e+02,9.197943687438964844e+00,7.733394205570220947e-02
1.838063507080078125e+02,9.198906898498535156e+00,7.698150724172592163e-02
1.843071746826171875e+02,9.199779510498046875e+00,7.667309045791625977e-02
1.848080139160156250e+02,9.200574874877929688e+00,7.640179991722106934e-02
1.853088531494140625e+02,9.201298713684082031e+00,7.616174966096878052e-02
1.858096771240234375e+02,9.201960563659667969e+00,7.594886422157287598e-02
1.863105163574218750e+02,9.202564239501953125e+00,7.575882226228713989e-02
1.868113555908203125e+02,9.203120231628417969e+00,7.558930665254592896e-02
1.873121795654296875e+02,9.203631401062011719e+00,7.543731480836868286e-02
1.878130187988281250e+02,9.204097747802734375e+00,7.530022412538528442e-02
1.883138580322265625e+02,9.204526901245117188e+00,7.517664879560470581e-02
1.888146972656250000e+02,9.204921722412109375e+00,7.506549358367919922e-02
1.893155212402343750e+02,9.205283164978027344e+00,7.496521621942520142e-02
1.898163604736328125e+02,9.205610275268554688e+00,7.487434893846511841e-02
1.903171997070312500e+02,9.205913543701171875e+00,7.479208707809448242e-02
1.908180236816406250e+02,8.359700202941894531e+00,1.138562679290771484e+00
1.913188629150390625e+02,8.533067703247070312e+00,8.592439889907836914e-01
1.918197021484375000e+02,8.640415191650390625e+00,6.931536793708801270e-01
1.923205413818359375e+02,8.726489067077636719e+00,5.676542520523071289e-01
1.928213653564453125e+02,8.800131797790527344e+00,4.666322469711303711e-01
1.933222045898437500e+02,8.864733695983886719e+00,3.837086856365203857e-01
1.938230438232421875e+02,8.922056198120117188e+00,3.153452277183532715e-01
1.943238677978515625e+02,8.973135948181152344e+00,2.591669857501983643e-01
1.948247070312500000e+02,9.018148422241210938e+00,2.138760834932327271e-01
1.953255462646484375e+02,9.056608200073242188e+00,1.786907315254211426e-01
1.958263702392578125e+02,9.088258743286132812e+00,1.523456275463104248e-01
1.963272094726562500e+02,9.113578796386718750e+00,1.330260783433914185e-01
1.968280487060546875e+02,9.133532524108886719e+00,1.189132332801818848e-01
1.973288879394531250e+02,9.149184226989746094e+00,1.085272282361984253e-01
1.978297119140625000e+02,9.161486625671386719e+00,1.007874831557273865e-01
1.983305511474609375e+02,9.171205520629882812e+00,9.493619203567504883e-02
1.988313903808593750e+02,8.316668510437011719e+00,1.205414772033691406e+00
1.993322143554687500e+02,7.755424499511718750e+00,2.108379602432250977e+00
1.998330535888671875e+02,8.157121658325195312e+00,1.469231367111206055e+00
2.003338928222656250e+02,8.327030181884765625e+00,1.188296079635620117e+00
2.008347320556640625e+02,8.068428993225097656e+00,1.610663056373596191e+00
2.013355560302734375e+02,8.275807380676269531e+00,1.272199153900146484e+00
2.018363952636718750e+02,8.415214538574218750e+00,1.045296907424926758e+00
2.023372344970703125e+02,8.530686378479003906e+00,8.624047040939331055e-01
2.028380584716796875e+02,8.629631996154785156e+00,7.113574743270874023e-01
2.033388977050781250e+02,8.715699195861816406e+00,5.859438180923461914e-01
2.038397369384765625e+02,8.791229248046875000e+00,4.818799197673797607e-01
2.043405609130859375e+02,8.857972145080566406e+00,3.957077264785766602e-01
2.048414001464843750e+02,8.917311668395996094e+00,3.245046436786651611e-01
2.053422393798828125e+02,8.970308303833007812e+00,2.658904194831848145e-01
2.058430786132812500e+02,9.017329216003417969e+00,2.183687835931777954e-01
2.063439025878906250e+02,9.057953834533691406e+00,1.811363101005554199e-01
2.068447418212890625e+02,9.091783523559570312e+00,1.530755460262298584e-01
2.073455810546875000e+02,9.119125366210937500e+00,1.324462294578552246e-01
2.078464050292968750e+02,9.140877723693847656e+00,1.173785403370857239e-01
